iter	Passed	Remaining
866	10873	1667
867	10883	1655
868	10894	1642
869	10905	1629
870	10917	1616
871	10927	1603
872	10939	1591
873	10951	1578
874	10962	1566
875	10972	1553
876	10978	1539
877	10990	1527
878	11004	1514
879	11015	1502
880	11027	1489
881	11038	1476
882	11049	1464
883	11068	1452
884	11079	1439
885	11088	1426
886	11099	1414
887	11111	1401
888	11123	1388
889	11134	1376
890	11146	1363
891	11157	1350
892	11168	1338
893	11178	1325
894	11189	1312
895	11200	1300
896	11211	1287
897	11223	1274
898	11235	1262
899	11246	1249
900	11257	1236
901	11269	1224
902	11280	1211
903	11292	1199
904	11307	1186
905	11320	1174
906	11371	1165
907	11389	1153
908	11401	1141
909	11413	1128
910	11422	1115
911	11432	1103
912	11445	1090
913	11457	1078
914	11468	1065
915	11481	1052
916	11493	1040
917	11504	1027
918	11515	1014
919	11525	1002
920	11536	989
921	11546	976
922	11558	964
923	11569	951
924	11580	938
925	11590	926
926	11603	913
927	11615	901
928	11626	888
929	11637	875
930	11648	863
931	11660	850
932	11671	838
933	11682	825
934	11694	812
935	11704	800
936	11714	787
937	11726	775
938	11739	762
939	11749	749
940	11762	737
941	11774	724
942	11785	712
943	11795	699
944	11806	687
945	11816	674
946	11827	661
947	11838	649
948	11848	636
949	11859	624
950	11870	611
951	11881	599
952	11892	586
953	11901	573
954	11913	561
955	11926	548
956	11936	536
957	11947	523
958	11958	511
959	11970	498
960	11982	486
961	11993	473
962	12005	461
963	12015	448
964	12030	436
965	12041	423
966	12053	411
967	12064	398
968	12076	386
969	12088	373
970	12099	361
971	12109	348
972	12121	336
973	12134	323
974	12145	311
975	12156	298
976	12168	286
977	12180	274
978	12191	261
979	12203	249
980	12215	236
981	12227	224
982	12238	211
983	12253	199
984	12266	186
985	12279	174
986	12291	161
987	12303	149
988	12315	136
989	12327	124
990	12339	112
991	12349	99
992	12360	87
993	12371	74
994	12383	62
995	12393	49
996	12403	37
997	12414	24
998	12424	12
999	12435	0
